direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"San Pablo 1433, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 60.000,35 m² totales / 2 dormitorios / 2 baños,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio San Pablo Vista Oriente Piso 16,https://www.portalinmobiliario.com/MLC-1382952907-edificio-san-pablo-vista-oriente-piso-16-_JM#position=2&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.43438923125,-70.65783231875001,Santiago
"Zenteno 1490, Parque O'Higgins, Santiago, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 45.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-18,Publicado hace 9 días por Assetplan Chile,Edificio Zenteno (1 Bod.) Vista Sur Piso 11,https://www.portalinmobiliario.com/MLC-1644615150-edificio-zenteno-1-bod-vista-sur-piso-11-_JM#position=3&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.465928745238095,-70.64975401190478,Santiago
"Compañía De Jesús 1429, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",320.000,Gastos comunes aproximados $ 50.000,31 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 2 días por Assetplan Chile,Edificio Compañía De Jesús Vista Oriente Piso 23,https://www.portalinmobiliario.com/MLC-1384663031-edificio-compania-de-jesus-vista-oriente-piso-23-_JM#position=4&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.438744549999996,-70.65733523786997,Santiago
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",320.000,Gastos comunes aproximados $ 45.000,32.5 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 3 días por Assetplan Chile,Edificio Amunátegui Vista Norte Piso 18,https://www.portalinmobiliario.com/MLC-1384355333-edificio-amunategui-vista-norte-piso-18-_JM#position=5&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.436505419999996,-70.65720278,Santiago
"Merced 562, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",330.000,Gastos comunes aproximados $ 55.000,33.3 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Merced Vista Norte Piso 20,https://www.portalinmobiliario.com/MLC-1383455989-edificio-merced-vista-norte-piso-20-_JM#position=6&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.4380476,-70.6447695,Santiago
"Merced 562, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",330.000,Gastos comunes aproximados $ 55.000,33 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Merced Vista Norte Piso 12,https://www.portalinmobiliario.com/MLC-1383472919-edificio-merced-vista-norte-piso-12-_JM#position=7&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.4380476,-70.6447695,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 75.000,35.78 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Carmen Vista Norte Piso 5,https://www.portalinmobiliario.com/MLC-1654310676-edificio-carmen-vista-norte-piso-5-_JM#position=8&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Coquimbo 777, San Diego, Santiago, RM (Metropolitana)",365.000,Gastos comunes aproximados $ 65.000,46.8 m² totales / 2 dormitorios / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Coquimbo Vista Oriente Piso 18,https://www.portalinmobiliario.com/MLC-1383404751-edificio-coquimbo-vista-oriente-piso-18-_JM#position=9&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.4532717,-70.630487,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 75.000,35.89 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Carmen Vista Norte Piso 7,https://www.portalinmobiliario.com/MLC-1654286156-edificio-carmen-vista-norte-piso-7-_JM#position=10&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 75.000,36.82 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Carmen Vista Poniente Piso 6,https://www.portalinmobiliario.com/MLC-1383472837-edificio-carmen-vista-poniente-piso-6-_JM#position=11&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 75.000,35.56 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 7 días por Assetplan Chile,Edificio Carmen Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1383417237-edificio-carmen-vista-poniente-piso-8-_JM#position=12&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Sara Del Campo 535, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",321.000,Gastos comunes aproximados $ 81.000,33 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 4 meses por Blue Home,"Sara Del Campo 535 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1619702950-sara-del-campo-535-departamento-1d1b-santiago-_JM#position=13&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.444423900000004,-70.64361905,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",350.000,Gastos comunes aproximados $ 75.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Carmen Vista Nororiente Piso 2,https://www.portalinmobiliario.com/MLC-1382947833-edificio-carmen-vista-nororiente-piso-2-_JM#position=16&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Cóndor 1107, Santiago, RM (Metropolitana)",320.000,Gastos comunes aproximados $ 50.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Cóndor Vista Sur Piso 19,https://www.portalinmobiliario.com/MLC-1382984629-edificio-condor-vista-sur-piso-19-_JM#position=17&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.450407375,-70.65037764642857,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 75.000,35.78 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Carmen Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1382994735-edificio-carmen-vista-poniente-piso-8-_JM#position=18&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana)",335.000,Gastos comunes aproximados $ 60.000,40.29 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Chiloé Vista Poniente Piso 5,https://www.portalinmobiliario.com/MLC-1649835666-edificio-chiloe-vista-poniente-piso-5-_JM#position=20&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.47171293287671,-70.64534050821918,Santiago
"Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana)",315.000,Gastos comunes aproximados $ 55.000,39.06 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Chiloé Vista Sur Piso 2,https://www.portalinmobiliario.com/MLC-1649859496-edificio-chiloe-vista-sur-piso-2-_JM#position=21&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.47171293287671,-70.64534050821918,Santiago
"San Diego 255, Bulnes, Santiago, RM (Metropolitana)",330.000,Gastos comunes aproximados $ 50.000,33.2 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio San Diego Vista Norte Piso 22,https://www.portalinmobiliario.com/MLC-1382925611-edificio-san-diego-vista-norte-piso-22-_JM#position=22&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44855325,-70.65116217587727,Santiago
"Avenida Vicuña Mackenna 1231, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",345.000,Gastos comunes aproximados $ 40.000,28 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Avenida Vicuña Mackenna Vista Sur Piso 11,https://www.portalinmobiliario.com/MLC-1382947851-edificio-avenida-vicuna-mackenna-vista-sur-piso-11-_JM#position=23&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.45722625,-70.62963111594114,Santiago
"Tarapacá 876, Bulnes, Santiago, RM (Metropolitana)",357.000,Gastos comunes aproximados $ 50.000,29 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Tarapacá (1 Bod.) Vista Poniente Piso 21,https://www.portalinmobiliario.com/MLC-1649858866-edificio-tarapaca-1-bod-vista-poniente-piso-21-_JM#position=24&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.4476085,-70.6523128,Santiago
"San Diego 1473, Parque O'Higgins, Santiago, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 60.000,34 m² totales / 2 dormitorios / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio San Diego Vista Norponiente Piso 16,https://www.portalinmobiliario.com/MLC-1649858956-edificio-san-diego-vista-norponiente-piso-16-_JM#position=25&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.4474423,-70.6510645,Santiago
"Nataniel Cox 683, Parque Almagro, Santiago, RM (Metropolitana)",345.000,Gastos comunes aproximados $ 80.000,38.16 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Nataniel Cox Vista Norte Piso 3,https://www.portalinmobiliario.com/MLC-1382994341-edificio-nataniel-cox-vista-norte-piso-3-_JM#position=26&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.45426619090909,-70.65259927272727,Santiago
"San Francisco 294, Bulnes, Santiago, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 65.000,26 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio San Francisco Vista Sur Piso 24,https://www.portalinmobiliario.com/MLC-1649868070-edificio-san-francisco-vista-sur-piso-24-_JM#position=27&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.448165849999995,-70.64645442424822,Santiago
"Sgto. Aldea 1156, Parque O'Higgins, Santiago, RM (Metropolitana)",305.000,Gastos comunes aproximados $ 40.000,30.92 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Sgto. Aldea (1 Bod.) Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649847266-edificio-sgto-aldea-1-bod-vista-poniente-piso-8-_JM#position=28&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.4686578,-70.6422355,Santiago
"Chacabuco 1120, Parque Los Reyes, Santiago, RM (Metropolitana)",350.000,Gastos comunes aproximados $ 40.000,31 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Chacabuco Vista Oriente Piso 19,https://www.portalinmobiliario.com/MLC-1649859460-edificio-chacabuco-vista-oriente-piso-19-_JM#position=29&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.0285624,-70.6907886,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",370.000,Gastos comunes aproximados $ 75.000,36.11 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Carmen Vista Sur Piso 6,https://www.portalinmobiliario.com/MLC-1649868384-edificio-carmen-vista-sur-piso-6-_JM#position=30&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Carmen 90, Santa Isabel, Santiago, RM (Metropolitana)",355.000,Gastos comunes aproximados $ 75.000,35.56 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Carmen Vista Poniente Piso 2,https://www.portalinmobiliario.com/MLC-1382985013-edificio-carmen-vista-poniente-piso-2-_JM#position=31&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.44412425714285,-70.64288787619049,Santiago
"Miguel León Prado 55, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",360.000,Gastos comunes aproximados $ 65.000,31 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Miguel León Prado (1 Bod.) Vista Sur Piso 11,https://www.portalinmobiliario.com/MLC-1382947861-edificio-miguel-leon-prado-1-bod-vista-sur-piso-11-_JM#position=32&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.461942189999995,-70.62871469999999,Santiago
"Amunátegui 620, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 40.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-18,Publicado hace 8 días por Assetplan Chile,Edificio Amunátegui Vista Norponiente Piso 21,https://www.portalinmobiliario.com/MLC-1649835442-edificio-amunategui-vista-norponiente-piso-21-_JM#position=33&search_layout=stack&type=item&tracking_id=81413aaa-0e03-4788-b84e-a38a5ece27e5,-33.436505419999996,-70.65720278,Santiago
