from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
200,14996,69.0,"['J18', 'L5R', 'L6', '507c']","['PJ645', '91', '61', 'PD115']","['PJ618', '61', '105', 'PD590']","[11.3, 20.5, 2.4, 4.8]",4.9,11.3,5.9,"[1.1, 1.3, 1.3, 2.3]",67.1,1
201,14996,68.0,"['D16', '325']","['PE1504', 'PD910']","['PD87', 'PD915']","[28.2, 19.6]",21.9,3.6,1.5,"[1.6, 1.2]",77.5,2
202,14996,79.0,"['B05', 'L3', '325']","['PB1879', '108', 'PD111']","['PB1982', '117', 'PD892']","[8.1, 23.5, 12.1]",18.0,4.7,7.8,"[1.9, 1.9, 4.0]",82.0,2
203,14996,54.0,"['L5V', 'L3', '325']","['91', '35', 'PD111']","['35', '117', 'PD892']","[18.4, 1.9, 12.1]",6.6,4.7,3.5,"[2.4, 1.1, 3.4]",54.1,1
204,14996,57.0,"['302', 'L2V', 'L6', '106']","['PG390', '39', '29', 'PD529']","['PG264', '29', '105', 'PD83']","[4.1, 10.7, 7.3, 2.1]",3.7,13.5,6.7,"[1.5, 3.0, 2.6, 3.2]",58.5,1
205,14996,61.0,"['E11', 'L4R', 'L4V', '506v']","['PE728', '49', '98', 'PD553']","['PE332', '98', '79', 'PD579']","[9.4, 6.2, 10.3, 4.7]",7.4,11.4,4.0,"[2.5, 2.6, 1.8, 1.5]",61.8,3
206,14996,60.0,"['502', '313e', 'L5V', '506v']","['PJ279', 'PJ1774', '31', 'PD524']","['PJ284', 'PJ97', '35', 'PD590']","[4.2, 2.7, 13.7, 13.3]",3.0,11.3,8.0,"[2.3, 1.4, 1.9, 2.3]",63.9,1
207,14996,80.0,"['I11', 'L5R', 'L6', '508']","['PI1816', '68', '61', 'PD529']","['PI1396', '61', '105', 'PD530']","[2.9, 35.1, 2.4, 3.0]",11.5,12.0,5.1,"[1.5, 1.7, 3.0, 1.4]",79.5,2
208,14996,75.0,"['C16', 'L1', 'L6', '508']","['PC1237', '40', '41', 'PD529']","['PC1067', '41', '105', 'PD530']","[28.0, 9.9, 7.0, 3.0]",2.9,12.0,5.3,"[2.3, 1.8, 4.2, 2.0]",78.4,1
209,14996,75.0,"['G08v', 'MTN', 'L6', '106']","['PB1532', 'PT0216', '102', 'PD529']","['PG525', 'PT0212', '105', 'PD61']","[7.8, 11.7, 12.6, 2.7]",1.8,11.1,14.2,"[4.5, 2.5, 1.2, 5.3]",75.3,1
210,14996,64.0,"['107c', 'L3', '325']","['PB2023', '111', 'PD350']","['PB35', '106', 'PD892']","[9.8, 20.2, 8.7]",6.1,4.7,4.5,"[2.9, 4.3, 2.1]",63.3,1
211,14996,96.0,"['110c', 'L5R', '507c']","['PB1518', '73', 'PD524']","['PJ69', '35', 'PD590']","[31.5, 20.6, 13.6]",11.1,11.3,5.2,"[1.9, 2.4, 1.1]",98.7,1
212,14996,71.0,"['514', '486', 'L5R', 'L6', '508']","['PJ887', 'PJ118', '73', '61', 'PD529']","['PJ888', 'PJ124', '61', '105', 'PD530']","[1.4, 9.6, 22.7, 2.4, 3.0]",4.4,12.0,6.7,"[1.7, 1.0, 1.7, 1.0, 1.7]",69.3,1
213,14996,58.0,"['210v', 'L1', 'L3', '325']","['PI1840', '97', '15', 'PD350']","['PI341', '15', '106', 'PD892']","[6.6, 7.3, 10.2, 8.5]",4.6,4.7,4.0,"[1.7, 2.7, 2.3, 1.1]",53.5,2
214,14996,49.0,"['L2V', 'L6', '325']","['28', '29', 'PD350']","['29', '106', 'PD892']","[8.9, 9.2, 8.7]",6.5,4.7,3.2,"[3.1, 2.3, 2.5]",49.0,6
215,14996,69.0,"['B28', 'L5V', 'L6', '106']","['PB2012', '31', '61', 'PD529']","['PJ97', '61', '105', 'PD61']","[19.7, 16.3, 2.4, 2.7]",2.3,11.1,6.3,"[1.6, 1.2, 1.3, 4.0]",68.9,1
216,14996,65.0,"['J02', 'J01', 'L5R', 'L6', '506']","['PJ664', 'PJ615', '91', '61', 'PD115']","['PJ615', 'PJ1552', '61', '105', 'PD590']","[3.7, 4.0, 20.5, 2.4, 4.2]",4.1,11.3,7.1,"[1.5, 1.2, 1.4, 1.3, 1.7]",64.3,1
217,14996,62.0,"['F14', 'L4V', '506']","['PF606', '34', 'PD553']","['PF272', '79', 'PD579']","[12.6, 19.6, 5.0]",2.3,11.4,4.0,"[2.7, 3.7, 1.2]",62.5,9
218,14996,52.0,"['L4A', 'L4V', '507']","['81', '99', 'PD553']","['99', '79', 'PD579']","[8.2, 8.7, 5.5]",9.1,11.4,2.8,"[3.0, 3.0, 1.2]",53.0,6
219,14996,60.0,"['I01', 'L6', '508']","['PI1382', '101', 'PD529']","['PI1819', '105', 'PD530']","[5.0, 15.4, 2.2]",7.3,12.0,7.6,"[1.5, 3.8, 4.0]",59.0,1
220,14996,50.0,"['504', '216', 'L4V', '506']","['PC459', 'PC111', '86', 'PD553']","['PC484', 'PD186', '79', 'PD579']","[6.4, 7.6, 4.5, 4.6]",3.4,11.4,4.4,"[4.1, 1.7, 1.3, 1.9]",51.3,1
221,14996,,[],[],[],[],,,,[],,
222,14996,63.0,"['422c', 'L5R', 'L3', '325']","['PJ121', '73', '75', 'PD350']","['PJ124', '75', '106', 'PD892']","[5.3, 13.7, 11.9, 8.5]",4.9,4.7,4.6,"[1.4, 2.4, 1.9, 1.5]",60.8,1
223,14996,60.0,"['428c', 'L2V', 'L6', '508']","['PG251', '39', '29', 'PD529']","['PG1583', '29', '105', 'PD530']","[5.5, 10.7, 7.3, 3.0]",5.3,12.0,7.1,"[2.4, 2.6, 2.8, 2.0]",60.6,4
224,14996,89.0,"['315e', '308c', 'L3', 'L6', '508']","['PB1253', 'PB554', '108', '106', 'PD529']","['PB548', 'PB1988', '106', '105', 'PD530']","[8.2, 15.1, 25.2, 1.4, 3.0]",5.6,12.0,9.4,"[2.7, 1.5, 1.9, 1.7, 2.1]",89.8,1
225,14996,78.0,"['J15c', 'L5V', '519']","['PJ259', '73', 'PD427']","['PJ987', '35', 'PD590']","[20.7, 20.6, 14.7]",3.6,11.3,3.1,"[1.7, 1.3, 1.9]",79.0,2
226,14996,89.0,"['E11', '210v', 'L4V', '506']","['PF408', 'PE340', '36', 'PD553']","['PE340', 'PE143', '79', 'PD579']","[9.0, 11.6, 15.3, 4.6]",23.7,11.4,3.5,"[7.6, 2.0, 2.4, 1.9]",93.2,1
227,14996,77.0,"['G14', 'MTN', 'L6', '506']","['PG374', 'PT0215', '102', 'PD115']","['PG1942', 'PT0212', '105', 'PD590']","[8.7, 9.8, 12.6, 4.2]",6.4,11.3,8.4,"[3.3, 2.9, 4.9, 2.1]",74.6,1
228,14996,62.0,"['F20', 'L4V', '506v']","['PF70', '34', 'PD553']","['PF272', '79', 'PD579']","[10.9, 19.6, 5.4]",6.2,11.4,4.0,"[1.4, 2.2, 1.0]",62.0,1
229,14996,61.0,"['E16', 'L4A', 'L4V', '516']","['PE715', '92', '99', 'PD553']","['PE172', '99', '79', 'PD579']","[11.0, 6.6, 8.7, 5.4]",3.3,11.4,5.4,"[2.1, 5.3, 1.5, 1.9]",62.6,1
230,14996,34.0,"['L4V', '507c']","['86', 'PD553']","['79', 'PD579']","[4.5, 5.5]",9.3,11.4,2.8,"[1.4, 1.5]",36.4,3
231,14996,32.0,"['212', '325']","['PD1629', 'PD81']","['PD81', 'PD892']","[6.1, 3.5]",9.6,4.7,0.0,"[1.3, 1.2]",26.4,2
232,14996,84.0,"['I04c', 'L5R', 'L3', '325']","['PI277', '68', '75', 'PD111']","['PI1332', '75', '117', 'PD892']","[14.2, 26.1, 10.1, 12.1]",4.0,4.7,6.7,"[2.0, 1.7, 1.1, 2.1]",84.8,1
233,14996,92.0,"['B33', 'L3', '508']","['PB1218', '108', 'PD111']","['PB1979', '117', 'PD530']","[11.0, 23.5, 11.4]",20.2,12.0,9.4,"[2.8, 2.7, 2.9]",95.9,1
234,14996,65.0,"['I04', '107', 'L6', '506']","['PI895', 'PI51', '101', 'PD115']","['PI900', 'PI1375', '105', 'PD590']","[3.9, 5.5, 15.4, 4.2]",3.5,11.3,8.2,"[2.1, 2.1, 3.9, 1.5]",61.6,2
235,14996,63.0,"['107', 'L3', '325']","['PB32', '111', 'PD428']","['PB35', '35', 'PD892']","[3.2, 16.2, 18.0]",9.9,4.7,4.6,"[1.2, 1.3, 1.3]",60.5,1
236,14996,85.0,"['315c', 'L3', '325']","['PB1882', '108', 'PD428']","['PB1988', '35', 'PD892']","[15.1, 21.2, 18.0]",14.3,4.7,7.7,"[1.6, 2.0, 2.4]",86.9,1
237,14996,62.0,"['L2V', 'L3', '325']","['5', '12', 'PD350']","['12', '106', 'PD892']","[9.7, 13.5, 8.7]",11.6,4.7,3.2,"[2.8, 2.4, 1.3]",58.0,3
238,14996,80.0,"['MTN', 'L6', '519']","['PT0217', '102', 'PD115']","['PT0212', '105', 'PD590']","[13.1, 12.6, 5.0]",31.3,11.3,5.7,"[1.1, 1.4, 1.0]",82.5,2
239,14996,52.0,"['206c', 'L6', '106']","['PH156', '104', 'PD529']","['PH161', '105', 'PD61']","[7.1, 5.7, 2.7]",10.3,11.1,7.1,"[3.1, 4.7, 3.0]",54.8,1
240,14996,78.0,"['I24', 'L5V', '506']","['PI382', '68', 'PD524']","['PI148', '35', 'PD590']","[3.8, 32.5, 11.9]",7.2,11.3,5.1,"[2.1, 2.1, 1.3]",77.3,1
241,14996,56.0,"['212', 'L4A', 'L4V', '516']","['PG91', '92', '99', 'PD553']","['PG95', '99', '79', 'PD579']","[7.4, 6.6, 8.7, 5.4]",3.3,11.4,4.8,"[3.3, 3.7, 3.7, 1.0]",59.3,1
242,14996,78.0,"['I11', 'L5V', 'L3', '325']","['PI382', '68', '75', 'PD111']","['PI148', '75', '117', 'PD892']","[6.8, 25.6, 10.1, 12.1]",7.2,4.7,4.7,"[3.7, 1.4, 1.9, 1.0]",79.0,1
243,14996,56.0,"['E18', 'L4A', 'L4V', '507']","['PE1366', '43', '99', 'PD553']","['PE261', '99', '79', 'PD579']","[8.1, 4.3, 8.7, 5.5]",1.8,11.4,5.9,"[2.0, 4.6, 1.6, 1.4]",55.3,1
244,14996,75.0,"['L5R', 'L3', '325']","['68', '35', 'PD111']","['35', '117', 'PD892']","[33.0, 1.9, 12.1]",13.9,4.7,3.5,"[1.0, 2.2, 1.7]",74.0,1
245,14996,78.0,"['303', 'B07', 'L3', '325']","['PB1905', 'PB416', '108', 'PD111']","['PB416', 'PB1986', '117', 'PD892']","[8.5, 7.4, 23.5, 12.4]",6.1,4.7,6.3,"[1.6, 1.3, 1.2, 2.4]",75.6,1
246,14996,66.0,"['C16', 'L1', 'L6', '325']","['PC329', '40', '41', 'PD350']","['PC1067', '41', '106', 'PD892']","[11.7, 9.9, 5.2, 8.7]",10.9,4.7,4.5,"[1.2, 2.0, 4.8, 4.0]",67.7,1
247,14996,62.0,"['423', 'L1', 'L2R', 'L6', '508']","['PI396', '50', '44', '29', 'PD529']","['PI470', '44', '29', '105', 'PD530']","[7.3, 8.6, 4.3, 7.3, 3.0]",4.8,12.0,5.9,"[1.5, 1.1, 2.5, 1.8, 2.4]",62.5,1
248,14996,28.0,['511'],['PD553'],['PD556'],[5.4],9.9,12.6,0.0,[1.8],29.7,1
249,14996,97.0,"['B12', 'L3', 'L6', '126']","['PB1006', '109', '106', 'PD529']","['PB1222', '106', '105', 'PD83']","[24.9, 24.9, 1.4, 2.2]",17.6,13.5,6.7,"[1.8, 2.4, 2.0, 1.0]",98.3,1
250,14996,90.0,"['I08', 'L5V', '325']","['PI777', '21', 'PD428']","['PI1040', '35', 'PD892']","[8.2, 29.4, 18.0]",9.8,4.7,11.7,"[4.0, 2.7, 1.1]",89.6,1
251,14996,57.0,"['F13c', 'L4V', '506']","['PF440', '22', 'PD553']","['PF594', '79', 'PD579']","[4.0, 18.1, 4.6]",8.9,11.4,4.4,"[1.0, 1.2, 1.1]",54.7,1
252,14996,61.0,"['E03', 'L4V', '506']","['PE411', '99', 'PD553']","['PE1296', '79', 'PD579']","[18.2, 8.7, 5.0]",7.2,11.4,4.4,"[1.7, 3.8, 2.2]",62.7,1
253,14996,75.0,"['422', 'L5R', '506']","['PJ1702', '73', 'PD524']","['PJ124', '35', 'PD590']","[15.0, 20.6, 11.9]",6.1,11.3,5.3,"[1.3, 2.2, 1.0]",74.6,1
254,14996,60.0,"['L3', 'L6', '106']","['110', '106', 'PD529']","['106', '105', 'PD61']","[22.6, 1.4, 2.7]",11.5,11.1,4.0,"[2.6, 1.3, 1.5]",58.6,4
255,14996,71.0,"['G15', '216', 'L4A', 'L4V', '506v']","['PG1244', 'PG138', '92', '99', 'PD553']","['PG1248', 'PE187', '99', '79', 'PD579']","[5.5, 8.6, 6.6, 8.7, 4.7]",1.8,11.4,10.1,"[1.9, 1.7, 1.3, 1.2, 1.2]",64.8,1
256,14996,68.0,"['E03', 'L4V', '516']","['PE1493', '99', 'PD553']","['PE1296', '79', 'PD579']","[29.5, 8.7, 5.4]",2.8,11.4,4.4,"[2.9, 1.7, 2.4]",69.2,3
