from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
4138,14995,53.0,"['C15', 'L1', 'L2R', '507']","['PC1018', '27', '44', 'PA450']","['PC906', '44', '70', 'PA322']","[4.8, 16.5, 2.6, 3.6]",7.7,3.3,6.1,"[2.7, 1.8, 3.3, 1.4]",53.6,1
4139,14995,39.0,"['L1', '119']","['32', 'PA273']","['83', 'PA276']","[15.3, 4.2]",8.6,4.3,5.8,"[1.2, 1.5]",40.9,1
4140,14995,74.0,"['C10e', 'L1', 'L2R', '506']","['PC769', '93', '44', 'PA450']","['PC1220', '44', '70', 'PA452']","[22.1, 12.6, 2.6, 3.0]",17.5,4.6,5.6,"[2.0, 1.4, 3.1, 2.2]",76.7,1
4141,14995,49.0,"['L1', 'L2R', '506']","['58', '44', 'PA450']","['44', '70', 'PA452']","[18.3, 2.6, 3.0]",13.6,4.6,1.3,"[1.5, 1.5, 3.2]",49.6,14
4142,14995,74.0,"['C19', 'L1', 'L2R', '506']","['PC806', '58', '44', 'PA450']","['PC178', '44', '70', 'PA452']","[29.6, 18.3, 2.6, 2.8]",0.4,4.6,6.7,"[3.2, 2.5, 1.1, 1.5]",73.3,1
4143,14995,40.0,"['L1', 'L2R', '509']","['3', '44', 'PA450']","['44', '70', 'PA452']","[15.2, 2.6, 3.0]",7.8,4.6,1.3,"[2.0, 2.5, 1.3]",40.3,4
4144,14995,80.0,"['C14', 'L1', 'L2R', '506v']","['PC910', '27', '44', 'PA450']","['PC617', '44', '70', 'PA452']","[34.9, 16.5, 2.6, 2.9]",17.0,4.6,5.7,"[4.9, 2.2, 2.3, 2.1]",95.6,1
4145,14995,85.0,"['409', 'C28', '225', 'L1', 'L2R', '507']","['PC612', 'PC615', 'PC293', '40', '44', 'PA450']","['PC615', 'PC293', 'PC1067', '44', '70', 'PA322']","[3.4, 11.6, 9.0, 21.5, 2.6, 3.6]",12.0,3.3,2.6,"[2.3, 2.2, 1.2, 1.0, 3.6, 1.7]",81.7,2
4146,14995,39.0,"['L1', 'L2R', '506e']","['3', '44', 'PA450']","['44', '70', 'PA452']","[15.2, 2.6, 2.6]",6.4,4.6,1.3,"[2.6, 2.2, 1.8]",39.4,5
4147,14995,63.0,"['L1', 'L2R', '506v']","['33', '44', 'PA450']","['44', '70', 'PA452']","[20.0, 2.6, 2.9]",27.7,4.6,1.3,"[2.6, 2.7, 1.1]",65.4,2
