direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Santa Elena 998, Barrio Diez de Julio, Santiago, RM (Metropolitana)",375.000,Gastos comunes aproximados $ 95.000,50 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Santa Elena Vista Suroriente Piso 5,https://www.portalinmobiliario.com/MLC-1649731872-edificio-santa-elena-vista-suroriente-piso-5-_JM#position=1&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.45462388095238,-70.63147134285715,Santiago
"Maule 150, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",374.000,Gastos comunes aproximados $ 85.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 21 días por Blue Home,"Maule 150 -  Departamento 2d1b, Santiago",https://www.portalinmobiliario.com/MLC-1594148644-maule-150-departamento-2d1b-santiago-_JM#position=2&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.46531561836735,-70.62934235714286,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",430.000,Gastos comunes aproximados $ 80.000,51.59 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 10,https://www.portalinmobiliario.com/MLC-1649847434-edificio-matucana-vista-oriente-piso-10-_JM#position=7&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.4415775,-70.6797923,Santiago
"Sta Elena 1722, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",420.000,Gastos comunes aproximados $ 70.000,56.95 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Sta Elena Vista Poniente Piso 21,https://www.portalinmobiliario.com/MLC-1649847394-edificio-sta-elena-vista-poniente-piso-21-_JM#position=8&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.46656133284478,-70.62804488365583,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",421.000,Gastos comunes aproximados $ 80.000,51.59 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 3,https://www.portalinmobiliario.com/MLC-1382947473-edificio-matucana-vista-oriente-piso-3-_JM#position=11&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.4415775,-70.6797923,Santiago
"Coquimbo 777, San Diego, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 65.000,46 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Coquimbo (1 Bod.) Vista Poniente Piso 10,https://www.portalinmobiliario.com/MLC-1649881196-edificio-coquimbo-1-bod-vista-poniente-piso-10-_JM#position=12&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.4532717,-70.630487,Santiago
"San Francisco 228, Bulnes, Santiago, RM (Metropolitana)",425.000,Gastos comunes aproximados $ 100.000,41 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio San Francisco (1 Bod.) Vista Norte Piso 7,https://www.portalinmobiliario.com/MLC-1649858864-edificio-san-francisco-1-bod-vista-norte-piso-7-_JM#position=13&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.036842,-70.7112002,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",428.000,Gastos comunes aproximados $ 80.000,51.59 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 9,https://www.portalinmobiliario.com/MLC-1649835510-edificio-matucana-vista-oriente-piso-9-_JM#position=14&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.4415775,-70.6797923,Santiago
"Chacabuco 1120, Parque Los Reyes, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 60.000,46 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Chacabuco (1 Est.) Vista Oriente Piso 25,https://www.portalinmobiliario.com/MLC-1649881246-edificio-chacabuco-1-est-vista-oriente-piso-25-_JM#position=15&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.0285624,-70.6907886,Santiago
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",428.000,Gastos comunes aproximados $ 80.000,53.05 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días por Assetplan Chile,Edificio Matucana Vista Poniente Piso 8,https://www.portalinmobiliario.com/MLC-1649735932-edificio-matucana-vista-poniente-piso-8-_JM#position=16&search_layout=stack&type=item&tracking_id=9c200f9c-f53b-477e-9c2b-c51dd0a61a24,-33.4415775,-70.6797923,Santiago
