direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,1.500.000,Gastos comunes aproximados $ 144.000,140 m² totales / 3 dormitorios / 3 baños,3,2023-06-13,Publicado hace 2 meses por Vivirpro,"Arriendo 3 Dormitorios, 3 Baños, 2 Estacionamientos",https://www.portalinmobiliario.com/MLC-1729002288-arriendo-3-dormitorios-3-banos-2-estacionamientos-_JM#position=1&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Avenida Manquehue Norte 900 - 1200, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)",1.320.000,Gastos comunes aproximados $ 250.000,87 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 10 meses,"Departamento Nuevo 2d2b, Insuperable Ubicación",https://www.portalinmobiliario.com/MLC-1359855721-departamento-nuevo-2d2b-insuperable-ubicacion-_JM#position=2&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Las Hualtatas/san Damian, Tabancura, Vitacura, RM (Metropolitana)",1.500.000,Gastos comunes aproximados $ 290.000,184 m² totales / 3 dormitorios / 4 baños,3,2023-06-13,Publicado hace 4 días por Lyon & Balmaceda,Departamento En Arriendo En Vitacura,https://www.portalinmobiliario.com/MLC-1727079630-departamento-en-arriendo-en-vitacura-_JM#position=3&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"El Tamarugo/ Las Fresas, Pío XI, Vitacura, RM (Metropolitana)",44,Gastos comunes aproximados $ 370.000,160 m² totales / 4 dormitorios / 4 baños,3,2023-06-13,Publicado hace 12 días por Lyon & Balmaceda,Departamento En Arriendo De 4 Dorm. En Vitacura,https://www.portalinmobiliario.com/MLC-1390461867-departamento-en-arriendo-de-4-dorm-en-vitacura-_JM#position=4&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Las Verbenas,las Condes, Alto Las Condes, Las Condes, RM (Metropolitana)",1.390.000,Gastos comunes aproximados $ 240.000,127.39 m² totales / 4 dormitorios / 3 baños,3,2023-06-13,Publicado hace 23 días por Lyon & Balmaceda,"Excelente Depto.en Arriendo,4 Dorm.3 Baños,en Las Condes. ",https://www.portalinmobiliario.com/MLC-1689490632-excelente-deptoen-arriendo4-dorm3-banosen-las-condes-_JM#position=5&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.259.000,Gastos comunes aproximados $ 279.000,92.8 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 14 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Suroriente P,https://www.portalinmobiliario.com/MLC-1713433280-edificio-vespucio-switch-1-est-1-bod-vista-suroriente-p-_JM#position=6&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.449.000,Gastos comunes aproximados $ 279.000,92.8 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 16 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Suroriente P,https://www.portalinmobiliario.com/MLC-1707387122-edificio-vespucio-switch-1-est-1-bod-vista-suroriente-p-_JM#position=7&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.583.000,Gastos comunes aproximados $ 279.000,86.2 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1383850319-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=8&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.378.000,Gastos comunes aproximados $ 279.000,92.8 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 22 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Suroriente P,https://www.portalinmobiliario.com/MLC-1386629837-edificio-vespucio-switch-1-est-1-bod-vista-suroriente-p-_JM#position=9&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.354.000,Gastos comunes aproximados $ 279.000,92.8 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 28 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Suroriente P,https://www.portalinmobiliario.com/MLC-1674698630-edificio-vespucio-switch-1-est-1-bod-vista-suroriente-p-_JM#position=10&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.292.000,Gastos comunes aproximados $ 279.000,86.2 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 40 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1380107143-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=11&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.415.000,Gastos comunes aproximados $ 279.000,86.2 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 34 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1382984559-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=12&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.523.000,Gastos comunes aproximados $ 279.000,92.8 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 34 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Nororiente P,https://www.portalinmobiliario.com/MLC-1382984557-edificio-vespucio-switch-1-est-1-bod-vista-nororiente-p-_JM#position=13&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.362.000,Gastos comunes aproximados $ 279.000,83.4 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 34 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1382925769-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=14&search_layout=stack&type=item&tracking_id=2c136a1c-b96a-4480-874b-5a80564922b3
