direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,340.000,Gastos comunes aproximados $ 60.000,,0,2023-06-12,Publicado hace 3 días,¡ Depto A Estrenar ! Departamento 1d Y 1b En Zañartu.,https://www.portalinmobiliario.com/MLC-1391882081--depto-a-estrenar-departamento-1d-y-1b-en-zanartu-_JM#position=1&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Avenida El Parrón 1 - 300, La Cisterna, Chile, El Parrón, La Cisterna, RM (Metropolitana)",320.000,Gastos comunes aproximados $ 45.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 6 días,Departamento 1d Y 1b En El Parron. Metro El Parron,https://www.portalinmobiliario.com/MLC-1391275847-departamento-1d-y-1b-en-el-parron-metro-el-parron-_JM#position=2&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Fray Camilo Henríquez 600 - 900, Santiago, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)",330.000,Gastos comunes aproximados $ 70.000,40 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 31 días,"Departamento 1d Y 1d En Fray Camilo. Disp, 15 De Junio",https://www.portalinmobiliario.com/MLC-1390439587-departamento-1d-y-1d-en-fray-camilo-disp-15-de-junio-_JM#position=3&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Vicuña Mackenna 2400 - 2700, La Florida, Chile, Rojas Magallanes, La Florida, RM (Metropolitana)",320.000,Gastos comunes aproximados $ 70.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 12 días,Departamento 1d Y 1b En Vicuña Mackenna. Metro R. Araya,https://www.portalinmobiliario.com/MLC-1715951708-departamento-1d-y-1b-en-vicuna-mackenna-metro-r-araya-_JM#position=4&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Nataniel Cox, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",320.000,Gastos comunes aproximados $ 60.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 3 días,Departamento 1d Y 1b En Nataniel Cox. Metro Parque Almagro,https://www.portalinmobiliario.com/MLC-1391924067-departamento-1d-y-1b-en-nataniel-cox-metro-parque-almagro-_JM#position=5&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Lord Cochrane 1 - 300, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",340.000,Gastos comunes aproximados $ 55.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 6 días,"Mq, Arrienda Depto 1d-1b, Lord Cochrane",https://www.portalinmobiliario.com/MLC-1391438309-mq-arrienda-depto-1d-1b-lord-cochrane-_JM#position=6&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Avenida María Rozas Velásquez 1 - 300, Santiago, Estación Central, Chile, Metro Las Rejas, Estación Central, RM (Metropolitana)",340.000,Gastos comunes aproximados $ 70.000,48.89 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 4 días,Montalva Quindos Arrienda Depto 2d+1b En Estación Central,https://www.portalinmobiliario.com/MLC-1391670655-montalva-quindos-arrienda-depto-2d1b-en-estacion-central-_JM#position=7&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Rivera 1200 - 1500, Independencia, Chile, Hospitales, Independencia, RM (Metropolitana)",340.000,Gastos comunes aproximados $ 70.000,47.3 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 19 días,Departamento Excelente Ubicacion - Mall Independencia,https://www.portalinmobiliario.com/MLC-1695592866-departamento-excelente-ubicacion-mall-independencia-_JM#position=8&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Lazo 1200 - 1500, San Miguel, Chile, Lo Vial, San Miguel, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 70.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 3 meses,Depto 1d. Disp. Inmed.!,https://www.portalinmobiliario.com/MLC-1710759926-depto-1d-disp-inmed-_JM#position=9&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
"Novena Avenida 1200 - 1500, San Miguel, Chile, Ciudad del Niño, San Miguel, RM (Metropolitana)",310.000,Gastos comunes aproximados $ 60.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 7 meses,Depto 1d. A Estrenar,https://www.portalinmobiliario.com/MLC-1710484114-depto-1d-a-estrenar-_JM#position=10&search_layout=stack&type=item&tracking_id=96faf52e-f39d-4ace-a136-0c3a0e846065
