direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,300.000,Gastos comunes aproximados $ 70.000,,0,2023-06-12,Publicado hace 7 meses,¡ Semi Amoblado ! Departamento 1d Y 1b En Huerfanos,https://www.portalinmobiliario.com/MLC-1375444147--semi-amoblado-departamento-1d-y-1b-en-huerfanos-_JM#position=1&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Blanco Garcés 1 - 300, Santiago, Estación Central, Chile, San Alberto Hurtado, Estación Central, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 80.000,45 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 31 días,Departamento 2d Y 1b En Blanco Garcés. Metro Ecuador,https://www.portalinmobiliario.com/MLC-1383546953-departamento-2d-y-1b-en-blanco-garces-metro-ecuador-_JM#position=2&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Amunátegui 600 - 900, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 60.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 31 días,Departamento 1d Y 1b En Amunátegui. Metro Cal Y Canto.,https://www.portalinmobiliario.com/MLC-1655615382-departamento-1d-y-1b-en-amunategui-metro-cal-y-canto-_JM#position=3&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"La Coruña 4800 - 5100, Santiago, Estación Central, Chile, Metro Ecuador, Estación Central, RM (Metropolitana)",290.000,Gastos comunes aproximados $ 50.000,40 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 31 días,Departamento 1d Y 1b En La Coruña. Metro Ecuador.,https://www.portalinmobiliario.com/MLC-1658032802-departamento-1d-y-1b-en-la-coruna-metro-ecuador-_JM#position=4&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Nataniel Cox, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 60.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 53 días,Departamento 1d Y 1b En Nataniel Cox. Metro Parque Almagro,https://www.portalinmobiliario.com/MLC-1391923963-departamento-1d-y-1b-en-nataniel-cox-metro-parque-almagro-_JM#position=5&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Arturo Prat 1200 - 1500, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 70.000,48 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 7 días,Departamento 2d Y 1b En Arturo Prat. Metro Matta,https://www.portalinmobiliario.com/MLC-1721197282-departamento-2d-y-1b-en-arturo-prat-metro-matta-_JM#position=6&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Carrión 1500 - 1800, Independencia, Chile, Hospitales, Independencia, RM (Metropolitana)",300.000,Gastos comunes aproximados $ 50.000,37.42 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 4 días,Montalva Quindos Arrienda Depto 1d+1b En Independencia,https://www.portalinmobiliario.com/MLC-1725270704-montalva-quindos-arrienda-depto-1d1b-en-independencia-_JM#position=7&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Nueva De Valdés 600 - 900, Santiago, Región Metropolitana, Chile, San Diego, Santiago, RM (Metropolitana)",305.805,Gastos comunes aproximados $ 69.541,33.61 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 52 días,Depto 1 Dorm + 1 Baño Terraza En Santiago. Nuevo Y Equipado,https://www.portalinmobiliario.com/MLC-1375489551-depto-1-dorm-1-bano-terraza-en-santiago-nuevo-y-equipado-_JM#position=8&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"José Ureta 180, La Cisterna, Chile, Lo Ovalle, La Cisterna, RM (Metropolitana)",303.000,Gastos comunes aproximados $ 74.000,36 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 2 meses por Blue Home,"Jose Ureta 180 - Departamento 1d1b, La Cisterna",https://www.portalinmobiliario.com/MLC-1363957001-jose-ureta-180-departamento-1d1b-la-cisterna-_JM#position=9&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
"Juan Mitjans, Macul, Chile, Metro Rodrigo de Araya, Macul, RM (Metropolitana)",309.000,Gastos comunes aproximados $ 53.000,29 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 25 días por Blue Home,"Juan Mitjans 105 -  Departamento Studio, Macul",https://www.portalinmobiliario.com/MLC-1680585428-juan-mitjans-105-departamento-studio-macul-_JM#position=10&search_layout=stack&type=item&tracking_id=723e415e-b21a-4316-95d5-e2b56cbf9a7f
