fecha descarga,fecha publicacion,titulo,direccion,descripcion,ambiente,comodidades,otras caracteristicas,orientacion,antiguedad,m2 totales,m2_utiles,habitaciones,banos,estacionamiento,bodega,piso de apartamento,cantidad de pisos edificio,apartamentos por piso,gastos comunes,precio,url
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1542307110-departamento-tucapel-jimenez-id-106995-_JM#position=24&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1373770469-departamento-san-francisco-id-106665-_JM#position=25&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1577349436-departamento-matucana-id-73990-_JM#position=26&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1373761893-departamento-franklin-id-105401-_JM#position=27&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1565686780-edificio-av-almte-blanco-encalada-vista-poniente-piso-5-_JM#position=28&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1424592880-santa-elena-2120-departamento-studio-santiago-_JM#position=29&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1509846266-sara-del-campo-535-departamento-2d2b3c-santiago-_JM#position=30&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1479768964-sara-del-campo-535-departamento-studio-santiago-_JM#position=31&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1479766622-abdon-cifuentes-150-departamento-studio-santiago-_JM#position=32&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1409149624-santo-domingo-3251-departamento-2d2b4c-santiago-_JM#position=33&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1424598368-santa-elena-2120-departamento-2d2b4c-santiago-_JM#position=34&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1451876852-santo-domingo-3251-departamento-studio-santiago-_JM#position=35&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1318546540-morande-924-departamento-2d2b3c-santiago-_JM#position=36&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1479558458-morande-924-departamento-1d1b-santiago-_JM#position=37&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1479544760-morande-924-departamento-studio-santiago-_JM#position=38&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1479548660-santa-isabel-55-departamento-1d1b-santiago-_JM#position=39&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1366467897-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=40&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1361479508-santa-rosa-237-departamento-2d2b3c-santiago-_JM#position=41&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1361480814-santo-domingo-3251-departamento-2d1b-santiago-_JM#position=42&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
2023-05-11,,,,,,,,,,,,,,,,,,,,,https://www.portalinmobiliario.com/MLC-1361685178-santo-domingo-3251-departamento-2d2b3c-santiago-_JM#position=43&search_layout=stack&type=item&tracking_id=ea3081a2-2fb0-4f84-a8b1-5f40b41156d1
