direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,420.000,Gastos comunes aproximados $ 70.000,,0,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b Con Terraza. Manuel Rodríguez,https://www.portalinmobiliario.com/MLC-1658983512-departamento-2d-y-2b-con-terraza-manuel-rodriguez-_JM#position=1&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Santa Victoria 9300 - 9600, La Florida, Chile, La Florida Alto, La Florida, RM (Metropolitana)",440.000,Gastos comunes aproximados $ 80.000,55 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 27 días,Departamento 2d Y 1b En Santa Victoria.,https://www.portalinmobiliario.com/MLC-1676885460-departamento-2d-y-1b-en-santa-victoria-_JM#position=2&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Porto Seguro 4200 - 4500, Quinta Normal, Estación Central, Chile, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",12,Gastos comunes aproximados $ 90.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b En Porto Seguro. Metro San A. Hurrtado,https://www.portalinmobiliario.com/MLC-1383636089-departamento-2d-y-2b-en-porto-seguro-metro-san-a-hurrtado-_JM#position=3&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Avenida Manuel Antonio Matta 52, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",415.000,Gastos comunes aproximados $ 105.000,49 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 días,"Mq, Arrienda Depto 2d-2b, Av. Matta.",https://www.portalinmobiliario.com/MLC-1727771606-mq-arrienda-depto-2d-2b-av-matta-_JM#position=4&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Avenida Salesianos 900 - 1200, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",420.000,Gastos comunes aproximados $ 99.000,48 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 5 días,"Mq, Arrienda Depto 2d-2b, Salesianos, San Miguel",https://www.portalinmobiliario.com/MLC-1391645633-mq-arrienda-depto-2d-2b-salesianos-san-miguel-_JM#position=5&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Avenida Manuel Rodríguez 600 - 900, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",420.000,Gastos comunes aproximados $ 70.000,45 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b Con Terraza. Manuel Rodríguez,https://www.portalinmobiliario.com/MLC-1383731791-departamento-2d-y-2b-con-terraza-manuel-rodriguez-_JM#position=6&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Santa Victoria 9300 - 9600, La Florida, Chile, La Florida Alto, La Florida, RM (Metropolitana)",430.000,Gastos comunes aproximados $ 80.000,55 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 27 días,Departamento 2d Y 1b En Santa Victoria.,https://www.portalinmobiliario.com/MLC-1676910172-departamento-2d-y-1b-en-santa-victoria-_JM#position=7&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",445.000,Gastos comunes aproximados $ 91.000,64 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 26 días por Blue Home,"Santo Domingo 3251 -  Departamento 2d2b(4c), Santiago",https://www.portalinmobiliario.com/MLC-1385379353-santo-domingo-3251-departamento-2d2b4c-santiago-_JM#position=8&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Santa Isabel 55, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",437.000,Gastos comunes aproximados $ 95.000,49 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 57 días por Blue Home,"Santa Isabel 55 -  Departamento 2d2b(4c), Santiago",https://www.portalinmobiliario.com/MLC-1551716192-santa-isabel-55-departamento-2d2b4c-santiago-_JM#position=9&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
"Sara Del Campo 535, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",424.000,Gastos comunes aproximados $ 98.000,47 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 33 días por Blue Home,"Sara Del Campo 535 -  Departamento 2d2b(4c), Santiago",https://www.portalinmobiliario.com/MLC-1383417737-sara-del-campo-535-departamento-2d2b4c-santiago-_JM#position=10&search_layout=stack&type=item&tracking_id=98acbdd6-8175-4e8e-9f08-6c02a6355fea
