direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,1.049.000,Gastos comunes aproximados $ 225.000,,0,2023-06-13,Publicado hace 11 meses,"Departamento Nuevo 2d2b, Insuperable Ubicación",https://www.portalinmobiliario.com/MLC-1359833997-departamento-nuevo-2d2b-insuperable-ubicacion-_JM#position=1&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Metro Alcántara/ Apoquindo, Barrio El Golf, Las Condes, RM (Metropolitana)",1.150.000,Gastos comunes aproximados $ 220.000,167 m² totales / 4 dormitorios / 3 baños,3,2023-06-13,Publicado hace 5 días por Lyon & Balmaceda,Departamento En Arriendo De 4 Dorm.. Las Condes. Metro ,https://www.portalinmobiliario.com/MLC-1391918781-departamento-en-arriendo-de-4-dorm-las-condes-metro-_JM#position=2&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Bosques De La Pirámide, Rinconada El Salto - Huechuraba, Bosques de la Pirámide, Huechuraba, RM (Metropolitana)",1.100.000,Gastos comunes aproximados $ 180.000,150 m² totales / 4 dormitorios / 3 baños,3,2023-06-13,Publicado hace 6 días por Lyon & Balmaceda,Departamento En Arriendo De 4 Dorm. En Huechuraba,https://www.portalinmobiliario.com/MLC-1724951650-departamento-en-arriendo-de-4-dorm-en-huechuraba-_JM#position=3&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.103.000,Gastos comunes aproximados $ 279.000,83.4 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1719280094-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=4&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.071.500,Gastos comunes aproximados $ 190.500,66.5 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Surponiente ,https://www.portalinmobiliario.com/MLC-1719156030-edificio-vespucio-switch-1-est-1-bod-vista-surponiente-_JM#position=5&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",915.500,Gastos comunes aproximados $ 190.500,56.7 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 16 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Poniente Pis,https://www.portalinmobiliario.com/MLC-1707476468-edificio-vespucio-switch-1-est-1-bod-vista-poniente-pis-_JM#position=6&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",894.500,Gastos comunes aproximados $ 190.500,55.6 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 46 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Poniente Pis,https://www.portalinmobiliario.com/MLC-1600051330-edificio-vespucio-switch-1-est-1-bod-vista-poniente-pis-_JM#position=7&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",989.500,Gastos comunes aproximados $ 190.500,56.7 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 36 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Poniente Pis,https://www.portalinmobiliario.com/MLC-1639967434-edificio-vespucio-switch-1-est-1-bod-vista-poniente-pis-_JM#position=8&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",974.000,Gastos comunes aproximados $ 279.000,86.2 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 34 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1649835400-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=9&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.123.000,Gastos comunes aproximados $ 279.000,83.4 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 28 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1674429172-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=10&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.016.500,Gastos comunes aproximados $ 190.500,66.5 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 28 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Surponiente ,https://www.portalinmobiliario.com/MLC-1384741693-edificio-vespucio-switch-1-est-1-bod-vista-surponiente-_JM#position=11&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.037.000,Gastos comunes aproximados $ 279.000,86.2 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 34 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Oriente Piso,https://www.portalinmobiliario.com/MLC-1649847344-edificio-vespucio-switch-1-est-1-bod-vista-oriente-piso-_JM#position=12&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.068.500,Gastos comunes aproximados $ 190.500,56.7 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 34 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Poniente Pis,https://www.portalinmobiliario.com/MLC-1649859020-edificio-vespucio-switch-1-est-1-bod-vista-poniente-pis-_JM#position=13&search_layout=stack&type=item&tracking_id=1b0ad8db-69ee-4d45-a103-41cb543db9f1
