fecha descarga,fecha publicacion,titulo,direccion,url
2023-05-11,Publicado hace 28 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago","Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1372875297-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=1&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 14 días por Blue Home,"Maule 150 -  Departamento 2d1b, Santiago","Maule 150, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1594148644-maule-150-departamento-2d1b-santiago-_JM#position=2&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 3 meses por Blue Home,"Sara Del Campo 535 -  Departamento 1d1b, Santiago","Sara Del Campo 535, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1619702950-sara-del-campo-535-departamento-1d1b-santiago-_JM#position=3&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 6 días por Assetplan Chile,Edificio San Diego Vista Poniente Piso 2,"San Diego 255, Bulnes, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1626809606-edificio-san-diego-vista-poniente-piso-2-_JM#position=4&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 7 días por Assetplan Chile,Edificio Av. Portugal Vista Sur Piso 14,"Av. Portugal 981, Barrio Diez de Julio, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1619507490-edificio-av-portugal-vista-sur-piso-14-_JM#position=5&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 7 días por Assetplan Chile,Edificio Carmen Vista Sur Piso 16,"Carmen 110, Santa Isabel, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1379982981-edificio-carmen-vista-sur-piso-16-_JM#position=6&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 7 días por Assetplan Chile,Edificio Santa Elena Vista Poniente Piso 8,"Santa Elena 998, Barrio Diez de Julio, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1619723324-edificio-santa-elena-vista-poniente-piso-8-_JM#position=7&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 7 días por Assetplan Chile,Edificio San Diego Vista Norte Piso 17,"San Diego 255, Bulnes, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1379943185-edificio-san-diego-vista-norte-piso-17-_JM#position=8&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 7 días por Assetplan Chile,Edificio Tarapacá Vista Norte Piso 23,"Tarapacá 876, Bulnes, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1380078627-edificio-tarapaca-vista-norte-piso-23-_JM#position=9&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
2023-05-11,Publicado hace 33 días,Depto. 2 Hab 2 Baños Pto. Lav. Santiago Centro ,"Argomedo 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-1370673769-depto-2-hab-2-banos-pto-lav-santiago-centro-_JM#position=10&search_layout=stack&type=item&tracking_id=7649d85f-e94a-44c1-a43b-4074705cc3e8
