direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"Avenida Pedro De Valdivia 3300 - 3600, Ñuñoa, Chile, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",690.000,Gastos comunes aproximados $ 120.000,,0,2023-06-13,Publicado hace 32 días,¡ Semi Amoblado ! Departamento 2d Y 2d (m) En P. De Valdivia,https://www.portalinmobiliario.com/MLC-1383721987--semi-amoblado-departamento-2d-y-2d-m-en-p-de-valdivia-_JM#position=1&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Santa Victoria 9300 - 9600, La Florida, Chile, La Florida Alto, La Florida, RM (Metropolitana)",650.000,Gastos comunes aproximados $ 100.000,66 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 27 días,Departamento 3d Y 2b En Santa Victoria.,https://www.portalinmobiliario.com/MLC-1676897866-departamento-3d-y-2b-en-santa-victoria-_JM#position=2&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Irarrázaval 4800 - 5100, Ñuñoa, Chile, Plaza Egaña, Ñuñoa, RM (Metropolitana)",650.000,Gastos comunes aproximados $ 130.000,60 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 meses,Departamento 2d Y 2b En Irarrazaval. Metro Villa Frei.,https://www.portalinmobiliario.com/MLC-1430206764-departamento-2d-y-2b-en-irarrazaval-metro-villa-frei-_JM#position=3&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Manquehue Norte 900 - 1200, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)",733.000,Gastos comunes aproximados $ 150.000,45.91 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 11 meses,"Departamento Nuevo 1d1b, Insuperable Ubicación",https://www.portalinmobiliario.com/MLC-1359792317-departamento-nuevo-1d1b-insuperable-ubicacion-_JM#position=4&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Manquehue Norte 900 - 1200, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)",810.000,Gastos comunes aproximados $ 125.000,48.09 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 1 año,"Departamento Nuevo 1d1b, Insuperable Ubicación ",https://www.portalinmobiliario.com/MLC-1385350292-departamento-nuevo-1d1b-insuperable-ubicacion-_JM#position=5&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Manquehue Norte 900 - 1200, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)",835.000,Gastos comunes aproximados $ 125.000,52.62 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 11 meses,"Departamento Nuevo 1d1b, Insuperable Ubicación",https://www.portalinmobiliario.com/MLC-1385225510-departamento-nuevo-1d1b-insuperable-ubicacion-_JM#position=6&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Pedro De Valdivia 3300 - 3600, Ñuñoa, Chile, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",710.000,Gastos comunes aproximados $ 120.000,56 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,¡¡ Semi Amoblado !! Departamento 2d Y 2d En P. De Valdivia,https://www.portalinmobiliario.com/MLC-1658071674--semi-amoblado-departamento-2d-y-2d-en-p-de-valdivia-_JM#position=7&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Manuel Montt 2400 - 2700, Ñuñoa, Chile, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",660.000,Gastos comunes aproximados $ 130.000,55 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b En Manuel Montt. M. Monseñor Eyzaguirre,https://www.portalinmobiliario.com/MLC-1659598462-departamento-2d-y-2b-en-manuel-montt-m-monsenor-eyzaguirre-_JM#position=8&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Avenida Manuel Montt 2400 - 2700, Ñuñoa, Chile, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",650.000,Gastos comunes aproximados $ 130.000,55 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b En Manuel Montt. M. Monseñor Eyzaguirre,https://www.portalinmobiliario.com/MLC-1659611360-departamento-2d-y-2b-en-manuel-montt-m-monsenor-eyzaguirre-_JM#position=9&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Av. Américo Vespucio Sur 345, Metro Escuela Militar, Las Condes, RM (Metropolitana)",779.500,Gastos comunes aproximados $ 190.500,55.6 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Vespucio Switch (1 Est. 1 Bod.) Vista Poniente Pis,https://www.portalinmobiliario.com/MLC-1390696633-edificio-vespucio-switch-1-est-1-bod-vista-poniente-pis-_JM#position=10&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Los Tres Antonios 55, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",650.000,Gastos comunes aproximados $ 145.000,61 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Los Tres Antonios (1 Est. 1 Bod.) Vista Oriente Pi,https://www.portalinmobiliario.com/MLC-1719279836-edificio-los-tres-antonios-1-est-1-bod-vista-oriente-pi-_JM#position=11&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"Av. Manuel Montt 2406, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",710.000,Gastos comunes aproximados $ 110.000,55.87 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 8 días por Assetplan Chile,Edificio Av. Manuel Montt (1 Est. 1 Bod.) Vista Surponiente,https://www.portalinmobiliario.com/MLC-1721276830-edificio-av-manuel-montt-1-est-1-bod-vista-surponiente-_JM#position=12&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"La Rinconada 291, Ciudad Empresarial, Bosques de la Pirámide, Huechuraba, RM (Metropolitana)",685.000,Gastos comunes aproximados $ 130.000,81 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Los Almendros Torre A Vista Surponiente Piso 1,https://www.portalinmobiliario.com/MLC-1390697131-edificio-los-almendros-torre-a-vista-surponiente-piso-1-_JM#position=13&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
"La Rinconada 291, Ciudad Empresarial, Bosques de la Pirámide, Huechuraba, RM (Metropolitana)",815.000,Gastos comunes aproximados $ 182.500,105 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Los Almendros Torre A (1 Est. 1 Bod.) Vista Surpon,https://www.portalinmobiliario.com/MLC-1390722757-edificio-los-almendros-torre-a-1-est-1-bod-vista-surpon-_JM#position=14&search_layout=stack&type=item&tracking_id=208e6b17-ef98-46db-9758-1d8ae5dc6f69
