direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Pedro Lagos,aldunate, Parque O'Higgins, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 80.000,2 dormitorios / 2 baños,2,2023-05-19,Publicado hace 22 días por Procasa,Departamento Pedro Lagos/aldunate,https://www.portalinmobiliario.com/MLC-1585684888-departamento-pedro-lagosaldunate-_JM#position=11&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4666142,-70.6537027,Santiago
"San Diego, Bulnes, Santiago, RM (Metropolitana)",13,Gastos comunes aproximados $ 80.000,,0,2023-05-19,Publicado hace 15 días,Departamento En Arriendo En Santiago,https://www.portalinmobiliario.com/MLC-1379755863-departamento-en-arriendo-en-santiago-_JM#position=12&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4752536,-70.6483591,Santiago
"Departamento De 2d, 2b, Y Bodega En Santiago, Ejército - Toesca, Santiago, RM (Metropolitana)",14,Gastos comunes aproximados $ 96.000,63 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 14 días por Unne,"Arriendo 2d, 2b Y Bodega Incluye Gastos Comunes ",https://www.portalinmobiliario.com/MLC-1619672810-arriendo-2d-2b-y-bodega-incluye-gastos-comunes-_JM#position=13&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-27.8271692,-64.2600712,Santiago
"Avenida Vicuña Mackenna, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",13,,45 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 10 días por Property Partners,Departamento En Arriendo Con Gran Conectividad,https://www.portalinmobiliario.com/MLC-1381907113-departamento-en-arriendo-con-gran-conectividad-_JM#position=14&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4532569,-70.6306064,Santiago
"Lord Cochrane 181, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",460.000,Gastos comunes aproximados $ 85.000,52 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 9 días,Departamento Cercano A Metro Moneda,https://www.portalinmobiliario.com/MLC-1382431355-departamento-cercano-a-metro-moneda-_JM#position=15&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.448512775,-70.654998775,Santiago
"Maipú 763, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",500.000,Gastos comunes aproximados $ 60.000,62 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 13 días,"Dpto. 3 Dorm / 2 Baños / 1 Est. / 1 Bod. Calle Maipú, Stgo.",https://www.portalinmobiliario.com/MLC-1626081464-dpto-3-dorm-2-banos-1-est-1-bod-calle-maipu-stgo-_JM#position=17&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.436119024999996,-70.67696509999999,Santiago
"Avenida Santa Rosa 1 - 300, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",580.000,Gastos comunes aproximados $ 120.000,65 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 8 días,Arriendo Dpto\ Santa Rosa\ Eleuterio Ramirez\ Curico,https://www.portalinmobiliario.com/MLC-1383021667-arriendo-dpto-santa-rosa-eleuterio-ramirez-curico-_JM#position=18&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4448028,-70.6456905,Santiago
"Santo Domingo 600 - 900, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",480.000,Gastos comunes aproximados $ 85.000,65 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 14 días,"Amplio  Departamento 2d 2b + Bodega, Estupenda Conectividad ",https://www.portalinmobiliario.com/MLC-1621571574-amplio-departamento-2d-2b-bodega-estupenda-conectividad-_JM#position=19&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.43613358367347,-70.64983832857143,Santiago
"Maturana 111, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)",600.000,Gastos comunes aproximados $ 160.000,80 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 15 días,Arriendo Depto De 3d Y 2b Cerca Metro Republica,https://www.portalinmobiliario.com/MLC-1379702919-arriendo-depto-de-3d-y-2b-cerca-metro-republica-_JM#position=21&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.443217000000004,-70.66609704999999,Santiago
"San Francisco 294, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",550.000,Gastos comunes aproximados $ 105.000,55 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 24 días,"Hermoso Dpto. Amoblado, San Francisco/eleuterio Ramírez ",https://www.portalinmobiliario.com/MLC-1578330988-hermoso-dpto-amoblado-san-franciscoeleuterio-ramirez-_JM#position=22&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.448165849999995,-70.64645442424822,Santiago
"Lord Cochrane 302, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)",490.000,Gastos comunes aproximados $ 100.000,65 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 2 meses,Dp. Estilo Mariposa 2 Suites Lord Cochrane 302 Metro U Chile,https://www.portalinmobiliario.com/MLC-1599933406-dp-estilo-mariposa-2-suites-lord-cochrane-302-metro-u-chile-_JM#position=23&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.45041868571428,-70.6544714367347,Santiago
"Santiago Centro, San Diego, Santiago, RM (Metropolitana)",470.000,Gastos comunes aproximados $ 75.000,42 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 16 días,Santiago Centro ,https://www.portalinmobiliario.com/MLC-1379446413-santiago-centro-_JM#position=24&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-2.1960016,-79.883105,Santiago
"Santiago, Franklin - Biobío, Santiago, RM (Metropolitana)",450.000,,53 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 7 días,"Arriendo Dpto 3d+2b+bod+estac, Barrio Franklin ",https://www.portalinmobiliario.com/MLC-1653936214-arriendo-dpto-3d2bbodestac-barrio-franklin-_JM#position=25&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4377756,-70.6504502,Santiago
"Avenida Matta, Barrio Diez de Julio, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 75.000,48 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 9 días,Avenida Matta,https://www.portalinmobiliario.com/MLC-1642922060-avenida-matta-_JM#position=26&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4569811,-70.6364149,Santiago
"Bandera ,, Santo Domingo, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",490.000,Gastos comunes aproximados $ 90.000,60 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 36 días,Departamento En Arriendo De 2 Dorm. En Santiago,https://www.portalinmobiliario.com/MLC-1372607857-departamento-en-arriendo-de-2-dorm-en-santiago-_JM#position=27&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.4334412,-70.6531755,Santiago
"Presidente Balmaceda 2088, Santiago, Chile, Parque Los Reyes, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 100.000,60 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 16 días,Acogedor Dpto Con Vista Despejada Y Amplias Habitaciones,https://www.portalinmobiliario.com/MLC-1609723468-acogedor-dpto-con-vista-despejada-y-amplias-habitaciones-_JM#position=28&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.3607227,-70.7430218,Santiago
"San Isidro , Eyzaguirre, Barrio Diez de Julio, Santiago, RM (Metropolitana)",500.000,Gastos comunes aproximados $ 95.000,60 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 28 días,Departamento En Arriendo De 3 Dorm. En Santiago,https://www.portalinmobiliario.com/MLC-1375260281-departamento-en-arriendo-de-3-dorm-en-santiago-_JM#position=29&search_layout=stack&type=item&tracking_id=9dc192eb-05fb-422c-a14a-628120b4a62d,-33.7025433,-70.9582364,Santiago
