direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
Evita usar formas de pago informales para el pago de reserva y cualquier costo inicial del arriendo.,550.000,Gastos comunes aproximados $ 57.000,,0,2023-06-13,Publicado hace 5 días,"Mq, Arrienda Depto 3d-1b, Calle Portugal.",https://www.portalinmobiliario.com/MLC-1391917075-mq-arrienda-depto-3d-1b-calle-portugal-_JM#position=1&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"General Jofré 1 - 300, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",560.000,Gastos comunes aproximados $ 115.000,60 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 47 días,Hermoso Depto 3 Dorm 2 Baños. Santiago Centro,https://www.portalinmobiliario.com/MLC-1593155176-hermoso-depto-3-dorm-2-banos-santiago-centro-_JM#position=2&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"General Jofré 1 - 300, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",560.000,Gastos comunes aproximados $ 115.000,60 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 5 días,"Mq, Arrienda Depto 3d-2b, Calle General Jofré.",https://www.portalinmobiliario.com/MLC-1726620044-mq-arrienda-depto-3d-2b-calle-general-jofre-_JM#position=3&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Santa Victoria 9300 - 9600, La Florida, Chile, La Florida Alto, La Florida, RM (Metropolitana)",620.000,Gastos comunes aproximados $ 80.000,66 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 8 días,Departamento 3d Y 2b En Santa Victoria.,https://www.portalinmobiliario.com/MLC-1721261516-departamento-3d-y-2b-en-santa-victoria-_JM#position=4&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Luis Beltrán 1800 - 2100, Ñuñoa, Chile, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",630.000,Gastos comunes aproximados $ 50.000,50 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 7 días,Departamento 2d Y 1b En Luis Beltrán. Metro M. Eyzaguirre.,https://www.portalinmobiliario.com/MLC-1723799582-departamento-2d-y-1b-en-luis-beltran-metro-m-eyzaguirre-_JM#position=5&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Av. Rodrigo De Araya 1410, Estadio Nacional, Ñuñoa, RM (Metropolitana)",630.000,Gastos comunes aproximados $ 115.000,62 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 22 días por Assetplan Chile,Edificio Av. Rodrigo De Araya (1 Est. 1 Bod.) Vista Ponient,https://www.portalinmobiliario.com/MLC-1691485698-edificio-av-rodrigo-de-araya-1-est-1-bod-vista-ponient-_JM#position=6&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Av. Las Condes/lo Fontecilla/estoril, Estoril, Las Condes, RM (Metropolitana)",16,Gastos comunes aproximados $ 90.000,45 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 5 días por Lyon & Balmaceda,Departamento En Arriendo En Las Condes,https://www.portalinmobiliario.com/MLC-1391918183-departamento-en-arriendo-en-las-condes-_JM#position=7&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Avenida El Cerro 300 - 600, Providencia, Chile, Pedro de Valdivia Norte, Providencia, RM (Metropolitana)",580.000,Gastos comunes aproximados $ 80.000,45 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 32 días,Departamento 2d Y 2b En El Cerro,https://www.portalinmobiliario.com/MLC-1659595732-departamento-2d-y-2b-en-el-cerro-_JM#position=8&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Av. Portugal 520, Santa Isabel, Santiago, RM (Metropolitana)",550.000,Gastos comunes aproximados $ 75.000,33.4 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 8 días por Assetplan Chile,Edificio Av. Portugal (1 Est. 1 Bod.) Vista Nororiente Piso,https://www.portalinmobiliario.com/MLC-1721237980-edificio-av-portugal-1-est-1-bod-vista-nororiente-piso-_JM#position=9&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
"Sta. Elena 962, Barrio Diez de Julio, Santiago, RM (Metropolitana)",590.000,Gastos comunes aproximados $ 115.000,62.5 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 11 días por Assetplan Chile,Edificio Sta. Elena (1 Est. 1 Bod.) Vista Poniente Piso 3,https://www.portalinmobiliario.com/MLC-1390722629-edificio-sta-elena-1-est-1-bod-vista-poniente-piso-3-_JM#position=10&search_layout=stack&type=item&tracking_id=acb524bc-a4d2-45e9-b29b-8f90130c18c1
