direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url
"General Mackenna 1500 - 1800, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 120.000,,0,2023-06-12,Publicado hace 31 días,¡¡ Sin Comisión !! Departamento 2d Y 2b (m) En G. Mackenna.,https://www.portalinmobiliario.com/MLC-1659634846--sin-comision-departamento-2d-y-2b-m-en-g-mackenna-_JM#position=1&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Porto Seguro 4200 - 4500, Quinta Normal, Estación Central, Chile, San Alberto Hurtado, Estación Central, RM (Metropolitana)",380.000,Gastos comunes aproximados $ 90.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 31 días,¡¡ Sin Comisión !! Departamento 2d Y 2b (m) En Porto Seguro.,https://www.portalinmobiliario.com/MLC-1658098846--sin-comision-departamento-2d-y-2b-m-en-porto-seguro-_JM#position=2&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Esmeralda 600 - 900, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 60.000,63 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 2 meses,Departamento 1d Y 1b En Esmeralda. Metro Puente Cal Y Canto,https://www.portalinmobiliario.com/MLC-1674747280-departamento-1d-y-1b-en-esmeralda-metro-puente-cal-y-canto-_JM#position=3&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"José Victorino Lastarria 1 - 300, Santiago, Chile, Barrio Lastarria, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 70.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 3 días,Departamento 1d Y 1b En Jose Victorino Lastarria. ,https://www.portalinmobiliario.com/MLC-1391923637-departamento-1d-y-1b-en-jose-victorino-lastarria-_JM#position=4&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Avenida Salesianos 600 - 900, San Miguel, Chile, Lo Vial, San Miguel, RM (Metropolitana)",410.000,Gastos comunes aproximados $ 90.000,53 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 10 días,Departamento 1d Y 1b En Salesianos,https://www.portalinmobiliario.com/MLC-1719147658-departamento-1d-y-1b-en-salesianos-_JM#position=5&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Santo Domingo 300 - 600, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 150.000,38 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 3 días,"Mq, Arrienda Depto 1d-1b, A Pasos Metro Bellas Artes.",https://www.portalinmobiliario.com/MLC-1392219285-mq-arrienda-depto-1d-1b-a-pasos-metro-bellas-artes-_JM#position=6&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
,,,,0,2023-06-12,,,https://www.portalinmobiliario.com/MLC-1391647401-mq-arrienda-depto-2d-2b-parque-los-reyes-balmaceda-_JM#position=7&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
,,,,0,2023-06-12,,,https://www.portalinmobiliario.com/MLC-1391890837-mq-arrienda-depto-2d-1b-parque-los-reyes-_JM#position=8&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
,,,,0,2023-06-12,,,https://www.portalinmobiliario.com/MLC-1718028398-depto-1-dorm-1-hab-nunoa-_JM#position=9&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Alcalde Pedro Alarcón 932, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",394.000,Gastos comunes aproximados $ 81.000,45 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 3 meses por Blue Home,"Pedro Alarcón 932 -  Departamento 2d2b(3c), San Miguel",https://www.portalinmobiliario.com/MLC-1392267221-pedro-alarcon-932-departamento-2d2b3c-san-miguel-_JM#position=10&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Nueva De Valdés 657, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)",404.115,Gastos comunes aproximados $ 98.161,48.57 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 3 meses,Depto 2 Dorms + 2 Baños En Santiago. Nuevo Y Equipado,https://www.portalinmobiliario.com/MLC-1388966802-depto-2-dorms-2-banos-en-santiago-nuevo-y-equipado-_JM#position=11&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Nueva De Valdés 600 - 900, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)",410.205,Gastos comunes aproximados $ 109.121,50.72 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 52 días,Depto 2 Dorms + 2 Baños En Santiago. Nuevo Y Equipado,https://www.portalinmobiliario.com/MLC-1375540429-depto-2-dorms-2-banos-en-santiago-nuevo-y-equipado-_JM#position=12&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Inglaterra 59, La Florida, Chile, Metro Mirador, La Florida, RM (Metropolitana)",399.000,Gastos comunes aproximados $ 91.000,42 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 3 meses por Blue Home,"Morandé 924 -  Departamento Loft 1d2b, Santiago",https://www.portalinmobiliario.com/MLC-1392246019-morande-924-departamento-loft-1d2b-santiago-_JM#position=13&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Morandé 924, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",409.000,Gastos comunes aproximados $ 84.000,53 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 14 días por Blue Home,"Morandé 924 -  Departamento 2d2b(3c), Santiago",https://www.portalinmobiliario.com/MLC-1389368927-morande-924-departamento-2d2b3c-santiago-_JM#position=14&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Maule 150, Santiago, Chile, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",391.000,Gastos comunes aproximados $ 85.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 28 días por Blue Home,"Maule 150 -  Departamento 2d1b, Santiago",https://www.portalinmobiliario.com/MLC-1669633484-maule-150-departamento-2d1b-santiago-_JM#position=15&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Inglaterra 59, La Florida, Chile, Metro Mirador, La Florida, RM (Metropolitana)",397.000,Gastos comunes aproximados $ 91.000,42 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 2 meses por Blue Home,"Inglaterra 59 -  Departamento Loft, La Florida",https://www.portalinmobiliario.com/MLC-1524734280-inglaterra-59-departamento-loft-la-florida-_JM#position=16&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"José Ureta 180, La Cisterna, Chile, Lo Ovalle, La Cisterna, RM (Metropolitana)",389.000,Gastos comunes aproximados $ 92.000,55 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 46 días por Blue Home,"Jose Ureta 180 - Departamento 2d2b(4c), La Cisterna",https://www.portalinmobiliario.com/MLC-1594152904-jose-ureta-180-departamento-2d2b4c-la-cisterna-_JM#position=17&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"La Coruña 4890, Metro Ecuador, Estación Central, RM (Metropolitana)",390.000,Gastos comunes aproximados $ 100.000,45.01 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio La Coruña (1 Est.) Vista Sur Piso 4,https://www.portalinmobiliario.com/MLC-1719169260-edificio-la-coruna-1-est-vista-sur-piso-4-_JM#position=18&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Av Libertador Bernardo O'higgins 4320, San Alberto Hurtado, Estación Central, RM (Metropolitana)",390.000,Gastos comunes aproximados $ 89.000,49.37 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Alameda Park Vista Norponiente Piso 13,https://www.portalinmobiliario.com/MLC-1719280074-edificio-alameda-park-vista-norponiente-piso-13-_JM#position=19&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Zañartu 2560, Estadio Nacional, Ñuñoa, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 35.000,43.28 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 10 días por Assetplan Chile,Edificio Zañartu Vista Surponiente Piso 14,https://www.portalinmobiliario.com/MLC-1390692549-edificio-zanartu-vista-surponiente-piso-14-_JM#position=20&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Matucana 31, Barrio Yungay, Santiago, RM (Metropolitana)",404.000,Gastos comunes aproximados $ 80.000,53.5 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Matucana Vista Oriente Piso 10,https://www.portalinmobiliario.com/MLC-1719143768-edificio-matucana-vista-oriente-piso-10-_JM#position=21&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Juan De Pineda 7704, Vicente Valdés, La Florida, RM (Metropolitana)",405.000,Gastos comunes aproximados $ 80.000,53 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Barrio Juan De Pineda Vista Sur Piso 3,https://www.portalinmobiliario.com/MLC-1719207288-edificio-barrio-juan-de-pineda-vista-sur-piso-3-_JM#position=22&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Chacabuco 1120, Parque Los Reyes, Santiago, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 90.000,45 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 10 días por Assetplan Chile,Edificio Chacabuco (1 Est. 1 Bod.) Vista Oriente Piso 15,https://www.portalinmobiliario.com/MLC-1390689853-edificio-chacabuco-1-est-1-bod-vista-oriente-piso-15-_JM#position=23&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Sta Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",390.000,Gastos comunes aproximados $ 85.000,52.24 m² totales / 3 dormitorios / 1 baño,3,2023-06-12,Publicado hace 7 días por Assetplan Chile,Edificio Sta Clara Vista Norte Piso 17,https://www.portalinmobiliario.com/MLC-1391285817-edificio-sta-clara-vista-norte-piso-17-_JM#position=24&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Av. Manuel Rodriguez Nte. 39, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",395.000,Gastos comunes aproximados $ 80.000,55 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Av. Manuel Rodriguez Nte. Vista Poniente Piso 2,https://www.portalinmobiliario.com/MLC-1719206570-edificio-av-manuel-rodriguez-nte-vista-poniente-piso-2-_JM#position=25&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"San Carlos De Ancud 74, Plaza Vespucio, La Florida, RM (Metropolitana)",380.000,Gastos comunes aproximados $ 88.000,41.04 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio San Carlos Vista Norte Piso 2,https://www.portalinmobiliario.com/MLC-1390696655-edificio-san-carlos-vista-norte-piso-2-_JM#position=26&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Fresia 6955, Plaza Vespucio, La Florida, RM (Metropolitana)",380.000,Gastos comunes aproximados $ 101.000,49.95 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 9 días por Assetplan Chile,Edificio Antonia (1 Est.) Vista Sur Piso 5,https://www.portalinmobiliario.com/MLC-1719207154-edificio-antonia-1-est-vista-sur-piso-5-_JM#position=27&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Zañartu 2560, Estadio Nacional, Ñuñoa, RM (Metropolitana)",400.000,Gastos comunes aproximados $ 35.000,43.28 m² totales / 1 dormitorio / 1 baño,3,2023-06-12,Publicado hace 10 días por Assetplan Chile,Edificio Zañartu Vista Surponiente Piso 6,https://www.portalinmobiliario.com/MLC-1390705725-edificio-zanartu-vista-surponiente-piso-6-_JM#position=28&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Av. Vicuña Mackenna Pte. 6456, Metro Mirador, La Florida, RM (Metropolitana)",391.000,Gastos comunes aproximados $ 85.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-06-12,Publicado hace 7 días por Assetplan Chile,Edificio Torres De Vicuña Mackenna Vista Oriente Piso 11,https://www.portalinmobiliario.com/MLC-1721275672-edificio-torres-de-vicuna-mackenna-vista-oriente-piso-11-_JM#position=29&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
"Vicuña Mackenna 2289, Rodrigo de Araya, San Joaquín, RM (Metropolitana)",405.000,Gastos comunes aproximados $ 70.000,42 m² totales / 2 dormitorios / 2 baños,3,2023-06-12,Publicado hace 7 días por Assetplan Chile,Edificio Vicuña Mackenna (1 Bod.) Vista Oriente Piso 10,https://www.portalinmobiliario.com/MLC-1391222121-edificio-vicuna-mackenna-1-bod-vista-oriente-piso-10-_JM#position=30&search_layout=stack&type=item&tracking_id=0292a1fb-74b8-4ba5-81a2-a5bd9e231005
